,Answer,Answered,Correct,Select2,Select4,Select3,Select1,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy
0,1,2812,1247,986,252,327,1247,143,24,5.958333333333333,0.44345661450924606,0.8338570196521481
1,3,14,8,5,1,8,0,50,5,10.0,0.5714285714285714,0.5562253153943606
2,2,2313,891,891,355,521,546,101,8,12.625,0.3852140077821012,0.9641859031211031
3,2,2672,2161,2161,186,194,131,32,6,5.333333333333333,0.8087574850299402,0.5237587805767957
4,3,1704,684,301,414,684,305,138,23,6.0,0.4014084507042254,0.9579252270062757
5,4,833,159,128,159,462,84,98,17,5.764705882352941,0.1908763505402161,0.8460902884227361
6,2,1718,908,908,295,259,256,136,20,6.8,0.5285215366705471,0.8714670658752082
7,2,89,31,31,13,20,25,176,22,8.0,0.34831460674157305,0.9731463674683066
8,1,2327,912,305,452,658,912,171,23,7.434782608695652,0.3919209282337774,0.9418040284105093
9,3,834,303,305,87,303,139,88,12,7.333333333333333,0.36330935251798563,0.9022889229725647
10,1,1572,632,293,286,361,632,101,18,5.611111111111111,0.4020356234096692,0.9610105339154925
11,2,2171,995,995,364,495,317,59,5,11.8,0.45831414094887146,0.9174339959311367
12,4,1701,679,652,679,215,155,231,42,5.5,0.3991769547325103,0.8472791557216122
13,1,1259,877,210,93,79,877,33,7,4.714285714285714,0.6965845909451946,0.6649191297427519
14,1,1697,1134,182,116,265,1134,140,18,7.777777777777778,0.6682380671773719,0.7128116895840928
15,3,4,2,1,0,2,1,65,8,8.125,0.5,0.6931471805599453
16,1,2300,1342,230,190,538,1342,77,11,7.0,0.5834782608695652,0.7760851203942825
17,4,848,364,173,364,150,161,90,17,5.294117647058823,0.42924528301886794,0.9461478596677222
18,1,2173,690,420,410,653,690,150,20,7.5,0.3175333640128854,0.9936350681499939
19,3,2692,1711,414,266,1711,301,129,10,12.9,0.6355869242199108,0.7615966625746906
20,3,1707,1082,123,431,1082,71,57,10,5.7,0.6338605741066198,0.6693124885360688
21,2,137,56,56,19,27,35,94,17,5.529411764705882,0.40875912408759124,0.9426958894428421
22,3,2797,1730,748,200,1730,119,0,0,0.0,0.618519842688595,0.6756662056244914
23,3,579,260,110,81,260,128,114,17,6.705882352941177,0.44905008635578586,0.9243391965430762
24,2,2391,1481,1481,352,282,276,95,7,13.571428571428571,0.6194061062317022,0.7833828246064676
25,2,2410,1956,1956,127,184,143,350,53,6.60377358490566,0.8116182572614108,0.5190973935753498
26,3,1505,795,292,303,795,115,105,12,8.75,0.5282392026578073,0.8373480802036293
27,1,2329,1052,528,318,431,1052,0,0,0.0,0.45169600686990125,0.9205329833776668
28,1,90,44,32,7,7,44,207,36,5.75,0.4888888888888889,0.7649439317647395
29,4,1730,1066,194,1066,374,96,28,1,28.0,0.6161849710982659,0.736929793654531
30,1,2813,1428,378,574,433,1428,258,44,5.863636363636363,0.507643085673658,0.8820656644513822
31,3,2256,1516,171,407,1516,162,23,1,23.0,0.6719858156028369,0.693615218259107
32,1,70,27,13,11,19,27,70,7,10.0,0.38571428571428573,0.9574252165168287
33,1,4,1,1,1,1,1,102,15,6.8,0.25,1.0397207708399179
34,1,2332,1145,307,253,627,1145,0,0,0.0,0.49099485420240135,0.861066173547672
35,2,186,96,96,45,30,15,60,8,7.5,0.5161290322580645,0.840649000688849
36,3,827,337,223,123,337,144,231,45,5.133333333333334,0.407496977025393,0.9412009730063492
37,4,2274,1377,378,1377,302,217,333,52,6.403846153846154,0.6055408970976254,0.7905899423688686
38,4,2482,1231,493,1231,395,363,250,42,5.9523809523809526,0.4959709911361805,0.8947069493933621
39,2,2607,1189,1189,354,587,477,42,7,6.0,0.45607978519370923,0.9175867795609967
40,1,2599,910,542,559,588,910,266,44,6.045454545454546,0.3501346671796845,0.9936670191885709
41,3,628,210,73,96,210,249,98,17,5.764705882352941,0.3343949044585987,0.9040685553809713
42,2,166,60,60,29,47,30,82,17,4.823529411764706,0.3614457831325301,0.9712425769033037
43,2,232,174,175,13,27,17,45,6,7.5,0.75,0.6033080444263239
44,4,2169,707,791,707,302,369,207,40,5.175,0.3259566620562471,0.943708545609272
45,3,2644,1128,770,304,1128,442,47,5,9.4,0.4266263237518911,0.9069958347709246
46,1,2554,674,492,283,1105,674,292,45,6.488888888888889,0.2638997650743931,0.9235201526350123
47,1,2884,1716,348,234,586,1716,69,9,7.666666666666667,0.59500693481276,0.7827674498923385
48,3,851,325,184,120,325,222,160,24,6.666666666666667,0.381903642773208,0.9578980168273207
49,2,2607,1181,1181,400,607,419,229,38,6.026315789473684,0.45301112389719983,0.9207601495226273
50,2,2907,1711,1711,607,368,221,213,36,5.916666666666667,0.5885792913656691,0.7845914408715893
51,2,1737,919,919,231,400,187,190,30,6.333333333333333,0.5290731145653426,0.8464068264016633
52,1,2393,984,963,183,263,984,54,8,6.75,0.411199331383201,0.8055884408142795
53,3,2332,1105,313,537,1105,377,298,41,7.2682926829268295,0.47384219554030876,0.9022941027821318
54,4,2165,917,542,917,374,332,237,41,5.780487804878049,0.4235565819861432,0.9375743873308394
55,4,1487,646,332,646,369,140,82,13,6.3076923076923075,0.4344317417619368,0.9030794892242495
56,3,2614,1350,380,200,1350,684,95,16,5.9375,0.5164498852333589,0.8278137984895148
57,2,104,40,40,19,35,10,43,5,8.6,0.38461538461538464,0.9022465755655341
58,1,78,33,12,17,16,33,71,10,7.1,0.4230769230769231,0.9449611666510699
59,2,2555,2076,2076,122,117,240,245,16,15.3125,0.8125244618395303,0.5086197786037714
60,3,192,78,39,27,78,48,152,25,6.08,0.40625,0.9461996057625794
61,4,78,18,27,18,22,11,58,6,9.666666666666666,0.23076923076923078,1.000450669802482
62,1,869,390,195,124,160,390,92,13,7.076923076923077,0.4487917146144994,0.924717742819051
63,4,1178,364,228,364,209,377,168,27,6.222222222222222,0.3089983022071307,0.9892747204906869
64,3,2195,1688,194,235,1688,78,64,10,6.4,0.7690205011389522,0.5722259029017083
65,1,2855,2373,198,153,131,2373,68,11,6.181818181818182,0.8311733800350263,0.4832945532250515
66,1,1709,885,402,176,246,885,331,56,5.910714285714286,0.5178466939730837,0.8535332909867318
67,1,367,135,90,78,64,135,100,17,5.882352941176471,0.3678474114441417,0.9783903885616603
68,3,85,24,23,18,24,20,222,45,4.933333333333334,0.2823529411764706,1.0228708537215065
69,2,2627,1380,1380,665,307,275,26,1,26.0,0.525314046440807,0.8348929392212214
70,2,873,261,261,156,292,164,118,21,5.619047619047619,0.29896907216494845,0.988152140455214
71,3,2549,1014,795,427,1014,313,0,0,0.0,0.39780306002353866,0.9202099753940576
72,1,2113,1130,636,178,169,1130,83,14,5.928571428571429,0.5347846663511595,0.7718398903257337
73,3,170,100,19,24,100,27,18,4,4.5,0.5882352941176471,0.813533309875814
74,1,833,405,206,81,141,405,56,10,5.6,0.48619447779111646,0.8728047803180861
75,1,2616,1547,143,253,673,1547,106,18,5.888888888888889,0.5913608562691132,0.7340793199995327
76,2,2322,1170,1170,332,361,459,102,12,8.5,0.5038759689922481,0.887936415101117
77,3,579,196,130,98,196,155,232,39,5.948717948717949,0.3385146804835924,0.9888457069413336
