,qNum,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy,T1,T2,T3,T4,T5
13,13,33,7,4.714285714285714,0.6965845909451946,0.6649191297427519,0.0,0.0,0.0,0.0,0.0
23,23,114,17,6.705882352941177,0.44905008635578586,0.9243391965430762,0.0,1.0,1.0,1.0,1.0
72,72,83,14,5.928571428571429,0.5347846663511595,0.7718398903257337,1.0,1.0,0.0,1.0,1.0
74,74,56,10,5.6,0.48619447779111646,0.8728047803180861,0.0,0.0,0.0,0.0,0.0
95,95,122,19,6.421052631578948,0.38443935926773454,0.9640319629401242,0.0,0.0,0.0,1.0,1.0
100,100,95,16,5.9375,0.6666666666666666,0.7078579390512387,1.0,0.0,0.0,0.0,0.0
104,104,92,15,6.133333333333334,0.2247191011235955,0.9167441328239284,1.0,1.0,1.0,0.0,0.0
129,129,182,27,6.7407407407407405,0.4796279893711249,0.9059644024030371,0.0,0.0,0.0,0.0,0.0
145,145,208,35,5.942857142857143,0.4779116465863454,0.8599792691904942,0.0,0.0,0.0,0.0,0.0
153,153,61,6,10.166666666666666,0.75,0.34657359027997264,1.0,1.0,1.0,1.0,1.0
155,155,112,16,7.0,0.1647761194029851,0.9680971243516127,1.0,1.0,1.0,1.0,0.0
172,172,211,32,6.59375,0.30194805194805197,0.9766983124271531,1.0,1.0,0.0,0.0,1.0
184,184,72,10,7.2,0.6193365695792881,0.7803068523122385,0.0,0.0,0.0,1.0,0.0
195,195,9,0,0.0,0.7486296006264683,0.6123140846277753,0.0,0.0,0.0,0.0,0.0
208,208,115,17,6.764705882352941,0.24358974358974358,0.9543512281947524,0.0,0.0,0.0,1.0,0.0
223,223,73,7,10.428571428571429,0.27,0.9954312044304465,0.0,0.0,0.0,0.0,0.0
242,242,243,30,8.1,0.3742690058479532,0.9731134387833298,1.0,1.0,1.0,1.0,1.0
278,278,205,33,6.212121212121212,0.5413844996237773,0.7931374690620694,1.0,1.0,1.0,1.0,1.0
287,287,257,44,5.840909090909091,0.6666666666666666,0.5972531564093516,1.0,0.0,1.0,1.0,1.0
289,289,96,13,7.384615384615385,0.4843238184370613,0.8983841875470708,0.0,0.0,1.0,0.0,0.0
304,304,187,30,6.233333333333333,0.5616020896821942,0.7491095784154262,1.0,1.0,1.0,1.0,1.0
307,307,161,29,5.551724137931035,0.2675336739433349,1.001099971785768,1.0,1.0,1.0,0.0,1.0
340,340,0,0,0.0,0.5316455696202531,0.8525705632343806,1.0,1.0,0.0,1.0,1.0
357,357,74,8,9.25,0.5714285714285714,0.6359194408637213,0.0,0.0,1.0,1.0,0.0
361,361,144,18,8.0,0.4085974815458098,0.9535763330347954,1.0,1.0,0.0,1.0,0.0
365,365,185,32,5.78125,0.317481884057971,0.8089134553728499,0.0,0.0,1.0,1.0,0.0
376,376,186,30,6.2,0.6658097686375322,0.6984508775402107,0.0,0.0,1.0,1.0,0.0
381,381,40,6,6.666666666666667,0.6724137931034483,0.697520484395939,1.0,1.0,0.0,0.0,1.0
394,394,89,12,7.416666666666667,0.7770088427527874,0.5795082262520836,1.0,1.0,1.0,0.0,0.0
428,428,74,10,7.4,0.3333333333333333,0.9634572526320548,1.0,0.0,1.0,1.0,1.0
430,430,45,6,7.5,0.3107890499194847,0.8976131502432496,1.0,0.0,0.0,0.0,0.0
432,432,33,7,4.714285714285714,0.6391875746714456,0.7438796130165755,0.0,0.0,1.0,0.0,0.0
439,439,124,18,6.888888888888889,0.25990626331487005,0.9078703443863174,0.0,1.0,1.0,1.0,1.0
479,479,203,34,5.970588235294118,0.4388888888888889,0.8549780293509979,0.0,0.0,0.0,0.0,1.0
515,515,145,20,7.25,0.4457831325301205,0.9048350178471589,1.0,1.0,0.0,0.0,1.0
532,532,74,10,7.4,0.4811320754716981,0.9104669892936209,1.0,1.0,0.0,0.0,1.0
570,570,152,21,7.238095238095238,0.6002673796791443,0.7927109920348876,0.0,1.0,0.0,0.0,0.0
606,606,95,15,6.333333333333333,0.5,0.34657359027997264,1.0,1.0,1.0,0.0,1.0
611,611,134,23,5.826086956521739,0.2942982456140351,0.9905466522609864,0.0,0.0,0.0,1.0,1.0
688,688,64,9,7.111111111111111,0.7515923566878981,0.6050301200163113,0.0,1.0,0.0,0.0,0.0
740,740,69,12,5.75,0.5147833130822195,0.8707941516792379,1.0,1.0,1.0,1.0,1.0
744,744,193,39,4.948717948717949,0.552073732718894,0.8481191405536965,1.0,1.0,1.0,1.0,1.0
762,762,213,39,5.461538461538462,0.28662420382165604,1.0204461825048754,1.0,1.0,1.0,1.0,1.0
798,798,18,3,6.0,0.6926121372031663,0.6845433216128389,0.0,0.0,0.0,0.0,0.0
836,836,46,8,5.75,0.515854074326628,0.836881110061061,0.0,0.0,1.0,0.0,1.0
851,851,222,42,5.285714285714286,0.32941176470588235,0.988663375136118,1.0,1.0,1.0,1.0,1.0
907,907,50,8,6.25,0.8442622950819673,0.4602672248783129,0.0,0.0,0.0,0.0,0.0
